名前,ふりがな,加入日,卒業日,加入期,誕生日,年齢,出身地,都道府県番号,身長,[1st single],Nobody's fault,ブルームーンキス,最終の地下鉄に乗って,なぜ恋をして来なかったんだろう？,Plastic regret,Buddies,半信半疑,[2nd single],BAN,君と僕と洗濯物,偶然の答え,Microscope,思ったよりも寂しくない,それが愛なのね,櫻坂の詩,[3rd single],流れ弾,美しきNervous,Dead end,ソニア,ジャマイカビール,On my way,無言の宇宙,[4th single],五月雨よ,僕のジレンマ,I'm in,断絶,制服の人魚,車間距離,恋が絶滅する日,[1st album],摩擦係数,条件反射で泣けてくる,One-way stairs,タイムマシンでYeah!,ずっと 春だったらなあ,[5th single],桜月,Cool,無念,もしかしたら真実,魂のLiar,夏の近道,その日まで,[6th single],Start over!,静寂の暴力,風の音,コンビナート,Anthem time,一瞬の馬,ドローン旋回中,[7th single],承認欲求,マモリビト,確信的クロワッサン,僕たちの La vie en rose,Don't cut in line!,マンホールの蓋の上,隙間風よ,君がサヨナラ言えたって・・・,[8th single],何歳の頃に戻りたいのか？,何度　LOVE SONGの歌詞を読み返しただろう,油を注せ！,真夏に何か起きるのかしら,心の影絵,恋は向いてない,泣かせて　Hold me tight！,[9th single],自業自得,引きこもる時間はない,愛し合いなさい,イザベルについて,縁起担ぎ,標識
名前,ふりがな,加入日,卒業日,加入期,誕生日,年齢,出身地,都道府県番号,身長,[1st_single],Nobodys_fault,ブルームーンキス,最終の地下鉄に乗って,なぜ恋をして来なかったんだろう,Plastic_regret,Buddies,半信半疑,[2nd_single],BAN,君と僕と洗濯物,偶然の答え,Microscope,思ったよりも寂しくない,それが愛なのね,櫻坂の詩,[3rd_single],流れ弾,美しきNervous,Dead_end,ソニア,ジャマイカビール,On_my_way,無言の宇宙,[4th_single],五月雨よ,僕のジレンマ,Im_in,断絶,制服の人魚,車間距離,恋が絶滅する日,[1st_album],摩擦係数,条件反射で泣けてくる,One-way_stairs,タイムマシンでYeah,ずっと_春だったらなあ,[5th_single],桜月,Cool,無念,もしかしたら真実,魂のLiar,夏の近道,その日まで,[6th_single],Start_over,静寂の暴力,風の音,コンビナート,Anthem_time,一瞬の馬,ドローン旋回中,[7th_single],承認欲求,マモリビト,確信的クロワッサン,僕たちの_La_vie_en_rose,Dont_cut_in_line,マンホールの蓋の上,隙間風よ,君がサヨナラ言えたって,[8th_single],何歳の頃に戻りたいのか,何度_LOVE_SONGの歌詞を読み返しただろう,油を注せ,真夏に何か起きるのかしら,心の影絵,恋は向いてない,泣かせて_Hold_me_tight,[9th_single],自業自得,引きこもる時間はない,愛し合いなさい,イザベルについて,縁起担ぎ,標識
上村 莉菜,うえむらりな,2015/8/21,,1期,1997/1/4,19970104,千葉県,12,153.5,[1st single],,,,,,Ⅲ,Ⅲ,[2nd single],,,Ⅲ,Ⅲ,,,〇,[3rd single],,,,Ⅲ,,,Ⅲ,[4th single],Ⅲ,Ⅲ,Ⅱ,,,,Ⅲ,[1st album],Ⅲ,,,Ⅱ,,[5th single],,Ⅲ,〇,,〇,,〇,[6th single],Ⅲ,,〇,,,Ⅲ,Ⅲ,[7th single],,,Ⅱ,,,,〇,,[8th single],,〇,,,,,,[9th single],,,Ⅲ,,,
小池 美波,こいけみなみ,2015/8/21,,1期,1998/11/14,19981114,兵庫県,28,158.5,[1st single],Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,[2nd single],Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,〇,[3rd single],Ⅲ,Ⅲ,,C,,,,[4th single],Ⅱ,Ⅱ,,Ⅱ,,Ⅱ,Ⅱ,[1st album],Ⅱ,Ⅱ,,Ⅱ,,[5th single],Ⅰ,Ⅰ,,〇,〇,,〇,[6th single],Ⅱ,,C,,,Ⅱ,Ⅱ,[7th single],Ⅲ,,,〇,,〇,〇,休養,[8th single],休養,休養,休養,休養,休養,休養,休養,[9th single],,,Ⅱ,,,
齋藤 冬優花,さいとうふゆか,2015/8/21,,1期,1998/2/15,19980215,東京都,13,158,[1st single],,,,,,Ⅲ,Ⅲ,[2nd single],,,,,Ⅲ,Ⅲ,〇,[3rd single],,,Ⅲ,Ⅱ,,,,[4th single],,Ⅲ,Ⅲ,,,Ⅲ,,[1st album],,Ⅲ,,Ⅱ,,[5th single],,Ⅲ,〇,,〇,,〇,[6th single],Ⅲ,,〇,,,Ⅲ,Ⅲ,[7th single],,,Ⅱ,,,,〇,,[8th single],,〇,,,,,,[9th single],,,Ⅲ,,,
井上 梨名,いのうえりな,2018/11/29,,2期,2001/1/29,20010129,兵庫県,28,163,[1st single],,,,Ⅲ,Ⅲ,,,[2nd single],Ⅲ,Ⅲ,,,,,〇,[3rd single],,,Ⅲ,Ⅱ,,〇,,[4th single],Ⅲ,Ⅲ,Ⅱ,,,,Ⅲ,[1st album],Ⅲ,,,,,[5th single],Ⅲ,,〇,〇,〇,,〇,[6th single],Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,[7th single],,,C,,,,〇,,[8th single],Ⅲ,,,,,,〇,[9th single],Ⅲ,,,〇,,
遠藤 光莉,えんどうひかり,2020/2/16,,2期,1999/4/17,19990417,神奈川県,14,163.3,[1st single],,,,,,Ⅲ,Ⅲ,[2nd single],,,,,Ⅲ,Ⅲ,〇,[3rd single],,,Ⅲ,Ⅱ,〇,,,[4th single],,Ⅲ,Ⅲ,,,Ⅲ,,[1st album],,Ⅲ,,,,[5th single],,Ⅲ,〇,,〇,,〇,[6th single],休養,休養,休養,休養,休養,休養,休養,[7th single],休養,休養,休養,休養,休養,休養,休養,,[8th single],,〇,,,,,,[9th single],,,Ⅲ,,,
大園 玲,おおぞのれい,2020/2/16,,2期,2000/4/18,20000418,鹿児島県,46,163,[1st single],Ⅲ,Ⅲ,Ⅲ,,,,,[2nd single],Ⅲ,Ⅲ,,,,,〇,[3rd single],Ⅲ,Ⅲ,,Ⅰ,,,,[4th single],Ⅲ,Ⅱ,Ⅰ,,,,Ⅲ,[1st album],Ⅲ,,,,〇,[5th single],Ⅱ,C,,〇,〇,,〇,[6th single],Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,[7th single],Ⅱ,,,,,〇,〇,,[8th single],Ⅲ,,,,,,〇,[9th single],Ⅱ,,,,,
大沼 晶保,おおぬまあきほ,2020/2/16,,2期,1999/10/12,19991012,静岡県,22,161,[1st single],,,,,,Ⅲ,Ⅲ,[2nd single],,,,,Ⅲ,Ⅲ,〇,[3rd single],,,Ⅲ,Ⅱ,,,,[4th single],,Ⅲ,Ⅲ,,,Ⅲ,,[1st album],,Ⅲ,,,,[5th single],,Ⅲ,〇,,〇,,〇,[6th single],Ⅲ,,,Ⅰ,,Ⅲ,Ⅲ,[7th single],,,Ⅲ,,,,〇,,[8th single],,〇,,,,,,[9th single],,,Ⅱ,〇,,
幸阪 茉里乃,こうさかまりの,2020/2/16,,2期,2002/12/19,20021219,三重県,24,154.5,[1st single],,,,Ⅲ,Ⅲ,,,[2nd single],,,,,Ⅲ,Ⅲ,〇,[3rd single],,,,Ⅲ,,,Ⅲ,[4th single],,Ⅲ,Ⅲ,,,Ⅲ,,[1st album],,Ⅲ,,,,[5th single],,Ⅲ,〇,,〇,,〇,[6th single],Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,[7th single],,,Ⅲ,,,,〇,,[8th single],,〇,,,,,,[9th single],,,Ⅲ,,,
武元 唯衣,たけもとゆい,2018/11/29,,2期,2002/3/23,20020323,滋賀県,25,158.5,[1st single],Ⅲ,Ⅲ,Ⅲ,,,,,[2nd single],,,Ⅲ,Ⅲ,,,〇,[3rd single],Ⅲ,Ⅲ,,Ⅱ,,,,[4th single],Ⅲ,Ⅲ,Ⅱ,,〇,,Ⅲ,[1st album],Ⅲ,,,,,[5th single],Ⅲ,,〇,〇,〇,,〇,[6th single],Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,[7th single],Ⅲ,,,〇,,〇,〇,,[8th single],,C,,,,,,[9th single],,,Ⅰ,〇,,
田村 保乃,たむらほの,2018/11/29,,2期,1998/10/21,19981021,大阪府,27,163,[1st single],Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,[2nd single],Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,〇,[3rd single],C,C,Ⅰ,,,,Ⅱ,[4th single],Ⅰ,Ⅰ,,C,,Ⅰ,Ⅰ,[1st album],Ⅰ,Ⅰ,,,〇,[5th single],Ⅱ,Ⅱ,,〇,〇,,〇,[6th single],Ⅰ,,,Ⅱ,,Ⅰ,C,[7th single],Ⅱ,,,〇,,〇,〇,,[8th single],Ⅱ,,,,,,〇,[9th single],Ⅰ,,,,,
藤吉 夏鈴,ふじよしかりん,2018/11/29,,2期,2001/8/29,20010829,大阪府,27,165.1,[1st single],Ⅱ,Ⅱ,Ⅱ,C,C,Ⅱ,Ⅱ,[2nd single],Ⅱ,Ⅱ,C,C,Ⅱ,Ⅱ,〇,[3rd single],Ⅲ,Ⅲ,,Ⅰ,〇,,,[4th single],Ⅱ,Ⅱ,,Ⅱ,,Ⅱ,Ⅱ,[1st album],Ⅰ,Ⅱ,〇,,,[5th single],Ⅱ,Ⅱ,,〇,〇,,〇,[6th single],C,,,Ⅱ,,C,Ⅰ,[7th single],Ⅱ,,,〇,,〇,〇,,[8th single],Ⅰ,,,,,〇,〇,[9th single],Ⅱ,,,,,
増本 綺良,ますもときら,2020/2/16,,2期,2001/1/12,20010112,兵庫県,28,158.4,[1st single],,,,Ⅲ,Ⅲ,,,[2nd single],,,,,Ⅲ,Ⅲ,〇,[3rd single],,,Ⅲ,Ⅲ,,,,[4th single],,Ⅲ,Ⅱ,,,Ⅲ,,[1st album],,Ⅲ,,,,[5th single],Ⅲ,,〇,〇,〇,,〇,[6th single],Ⅱ,,,C,,Ⅱ,Ⅱ,[7th single],Ⅲ,,,,,〇,〇,,[8th single],Ⅲ,,,,,,〇,[9th single],,,Ⅰ,〇,,
松田 里奈,まつだりな,2018/11/29,,2期,1999/10/13,19991013,宮崎県,45,159.5,[1st single],Ⅲ,Ⅲ,Ⅲ,,,,,[2nd single],Ⅲ,Ⅲ,,,,,〇,[3rd single],Ⅲ,Ⅲ,,Ⅰ,,〇,,[4th single],Ⅲ,Ⅲ,Ⅰ,,,,Ⅲ,[1st album],Ⅲ,,,,,[5th single],Ⅲ,,C,〇,〇,,〇,[6th single],Ⅱ,,,Ⅰ,,Ⅱ,Ⅱ,[7th single],Ⅲ,,,,,〇,〇,,[8th single],Ⅲ,,,,,,〇,[9th single],Ⅲ,,,,〇,
